#{"t_start": 1616687079.692363, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-633.541999,76,245.422665
-757.609247,84,245.935075
-524.125113,61,246.46226
-548.525744,66,246.859087
-536.421872,60,247.286121
-590.603891,74,247.712454
-837.802682,79,248.198292
-365.647866,54,248.700162
-564.100705,70,249.052666
-406.210685,49,249.472578
-744.835736,83,249.80529
-487.458627,72,250.32779
-537.013035,59,250.776436
-478.248404,72,251.147602
-786.469336,83,251.592862
-592.796078,66,252.089643
-427.319584,52,252.512491
-349.159588,50,252.86938
-734.948763,74,253.2122
-373.316473,50,253.678426
-857.964021,81,254.034615
-554.786257,71,254.529019
-392.675757,49,254.976148
-713.076196,82,255.321672
-513.973541,57,255.847036
-477.093881,63,256.236201
-699.117776,75,256.664408
-579.727084,64,257.15118
-561.006445,62,257.547457
-587.065882,74,257.937962
-557.443917,72,258.412127
-818.927471,81,258.863775
-457.487719,62,259.35092
-593.470276,63,259.735723
-423.944997,53,260.127159
-545.469051,68,260.503718
-674.922859,77,260.96581
-429.700604,54,261.459479
-310.895157,50,261.80578
-513.209033,67,262.146276
-361.693784,55,262.580177
-458.450673,60,262.945388
-624.376353,75,263.328116
-418.037024,53,263.776708
-598.696887,65,264.118137
-746.005122,83,264.539436
-332.258637,50,265.142207
-833.497053,90,265.499348
-485.85868,55,266.059648
-457.076123,62,266.421263
-899.575031,85,266.847908
-492.991601,56,267.408751
-432.152227,79,267.805824
-775.913528,83,268.327341
-535.388715,66,268.87034
-416.502255,53,269.300005
-606.073429,66,269.64088
-732.759442,80,270.057832
-540.901952,60,270.541713
-483.797141,57,270.910237
-558.251263,67,271.276379
-510.810288,78,271.701734
-617.176374,64,272.183956
-449.454233,55,272.605151
-474.498624,74,272.992651
-448.925356,60,273.488371
-490.332169,73,273.889466
-489.705536,61,274.341752
-532.019417,61,274.724839
-826.61199,82,275.117486
-517.502641,64,275.613743
-423.071207,56,276.00984
-741.433726,82,276.380329
-462.368391,53,276.872084
-396.049266,50,277.203895
-732.156695,83,277.540398
-726.799672,87,278.083053
-670.754025,71,278.622526
-760.981788,74,279.05994
-736.464948,77,279.5531
-590.541333,63,280.056173
-468.015015,69,280.482013
-554.225561,62,280.953574
-757.677961,79,281.395268
-460.891308,56,281.897819
-413.606318,56,282.255046
-687.422789,70,282.636357
-499.664865,60,283.077024
-379.884829,49,283.444592
-1497.431681,138,283.818917
-402.765115,54,284.623804
-479.349247,65,284.97289
-788.711196,87,285.394036
-447.233983,62,285.932022
-423.783459,55,286.349131
-526.231481,71,286.734628
-785.313205,79,287.226885
-882.565543,87,287.754537
-546.174144,62,288.291016
-344.551242,50,288.666138
-552.79004,68,288.992098
-527.135918,72,289.442329
-722.63139,74,289.909978
-700.28731,81,290.378499
-707.687669,79,290.884314
-529.488169,59,291.368577
-691.396186,82,291.754004
-528.165437,61,292.261442
-396.571905,49,292.656186
-544.371771,60,292.9591
-349.577148,51,293.317119
-292.866044,51,293.629225
-466.964926,56,293.946249
-780.05624,80,294.316242
-997.748264,86,294.862968
-441.904405,60,295.429496
-671.240816,79,295.851874
-839.273484,82,296.383146
-343.800226,52,296.867205
-476.559293,75,297.224331
-510.670755,65,297.700737
-362.781295,55,298.137104
-731.65374,77,298.514737
-619.017706,74,299.007079
-778.899432,84,299.520252
-517.923838,60,300.059981
-596.364387,66,300.451115
-462.684685,60,300.870735
-438.29226,56,301.253769
-486.033113,63,301.611587
-356.631463,51,301.989338
-391.490072,54,302.309854
-428.759023,52,302.652516
-490.637286,80,303.030244
-764.235054,85,303.582282
-515.414833,71,304.127983
-829.174504,80,304.611381
-331.013323,52,305.114256
-822.627897,79,305.456695
-805.475809,82,305.984136
-269.547477,51,306.494819
-755.407489,85,306.848567
-507.394271,72,307.380615
-613.153249,66,307.850602
-580.228935,62,308.278304
-652.847734,76,308.693352
-562.199482,66,309.16766
-333.582356,54,309.567496
-478.484469,57,309.901329
-777.312434,86,310.289007
-570.824275,62,310.827982
-670.260895,78,311.249009
-634.14858,69,311.755279
-424.389092,51,312.192237
-367.488413,54,312.526937
-507.405608,66,312.950451
-813.993652,83,313.471971
-967.449196,85,314.06001
